feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV3587	hatchery	south_santiam	6.2181266487868	0.952039428855436	40	16	1.36283930985562e-07	8.87208390716006e-05
ASV2166	hatchery	south_santiam	4.00778039174908	0.648216184543535	40	6	3.96299925515199e-07	0.000128995625755197
ASV1129	hatchery	south_santiam	3.8687464312297	0.698935775675785	40	7	2.90630065810552e-06	0.000473000432106674
ASV2314	hatchery	willamette	-4.71003353123317	0.846938577656547	40	26	2.68235068233672e-06	0.000473000432106674
ASV1833	hatchery	sandy	5.81881137262297	1.09043324141539	40	38	5.35950940817825e-06	0.000697808124944808
ASV1835	hatchery	sandy	5.34799308489203	1.06547995793204	40	39	1.41620857275772e-05	0.00153658630144213
ASV2536	hatchery	south_santiam	4.55073632842037	0.956409512027862	40	9	3.1386335231394e-05	0.00291892917651965
ASV2613	hatchery	willamette	-3.50345180402493	0.748342322418759	40	8	3.95813458837196e-05	0.00322093202128768
ASV412	hatchery	south_santiam	3.36676296209385	0.765013073450643	40	7	9.21334246489622e-05	0.00666431771627493
ASV2057	hatchery	south_santiam	3.92675355843683	0.917780635241004	40	8	0.000132704979539441	0.00863909416801762
ASV1519	hatchery	south_santiam	4.21172302678149	1.0268249662028	40	24	0.000223817875171706	0.0124680985255925
ASV2403	hatchery	south_santiam	3.49306045078325	0.853489853609213	40	7	0.00022982670093258	0.0124680985255925
ASV1701	hatchery	south_santiam	4.17399782758195	1.04431894046179	40	9	0.000304259223348836	0.0141480538857209
ASV2168	hatchery	south_santiam	4.23044856017988	1.05185133623566	40	34	0.0002827965613346	0.0141480538857209
ASV1213	hatchery	willamette	3.42889432781234	0.878447730300333	40	34	0.000399327777407034	0.0173308255394653
ASV1380	hatchery	sandy	4.66661550615164	1.21586393676992	40	37	0.000482194788646131	0.0196193004630395
ASV3084	hatchery	willamette	3.05361069173564	0.804935376165591	40	12	0.000548046249277238	0.0209869475458519
ASV1753	hatchery	willamette	3.19524140450496	0.852175065017757	40	13	0.000621874347411627	0.0224911222313872
ASV3040	hatchery	sandy	4.68730669000146	1.27112585679337	40	37	0.000742152121494293	0.0254284753206729
ASV2011	hatchery	willamette	3.5330457097788	0.994197846632224	40	32	0.00108337070169201	0.0335844917524523
ASV3022	hatchery	willamette	3.05114450140677	0.854452536929587	40	26	0.00103222738858781	0.0335844917524523
ASV2695	hatchery	willamette	-2.64995819464286	0.751924959658651	40	6	0.00117653112546449	0.0348146255762447
ASV118	hatchery	willamette	3.32666837117767	0.948584919481758	40	35	0.0012346733501593	0.0349466239545088
